ID,Activity
0,5
1,4
2,0
3,5
4,3
5,0
6,3
7,4
8,4
9,1
10,4
11,5
12,3
13,3
14,5
15,3
16,1
17,0
18,2
19,0
20,1
21,5
22,1
23,0
24,1
25,2
26,4
27,4
28,4
29,4
30,4
31,1
32,0
33,4
34,4
35,2
36,4
37,2
38,1
39,1
40,4
41,0
42,0
43,1
44,4
45,4
46,4
47,3
48,3
49,1
50,3
51,2
52,1
53,2
54,0
55,3
56,4
57,2
58,2
59,0
60,4
61,5
62,5
63,0
64,3
65,5
66,3
67,0
68,1
69,0
70,5
71,4
72,5
73,3
74,1
75,2
76,3
77,2
78,0
79,3
80,1
81,2
82,3
83,4
84,1
85,4
86,5
87,3
88,5
89,0
90,2
91,1
92,4
93,5
94,4
95,2
96,0
97,0
98,5
99,4
100,5
101,2
102,3
103,0
104,1
105,1
106,4
107,0
108,4
109,3
110,1
111,0
112,4
113,4
114,1
115,2
116,3
117,2
118,4
119,3
120,2
121,3
122,4
123,2
124,1
125,0
126,3
127,4
128,1
129,2
130,5
131,2
132,3
133,1
134,1
135,3
136,2
137,3
138,0
139,4
140,0
141,0
142,2
143,4
144,2
145,1
146,0
147,1
148,4
149,0
150,1
151,1
152,0
153,1
154,0
155,1
156,0
157,1
158,5
159,2
160,4
161,5
162,0
163,4
164,5
165,3
166,0
167,1
168,0
169,1
170,3
171,5
172,1
173,1
174,4
175,4
176,2
177,3
178,3
179,3
180,4
181,3
182,3
183,1
184,4
185,1
186,2
187,4
188,4
189,0
190,2
191,4
192,4
193,0
194,2
195,0
196,4
197,2
198,4
199,1
200,4
201,4
202,0
203,3
204,4
205,2
206,3
207,4
208,4
209,2
210,4
211,4
212,0
213,4
214,4
215,4
216,4
217,1
218,2
219,2
220,4
221,5
222,0
223,2
224,5
225,5
226,4
227,5
228,0
229,0
230,3
231,4
232,0
233,0
234,4
235,3
236,2
237,4
238,2
239,2
240,4
241,2
242,1
243,3
244,5
245,4
246,1
247,3
248,1
249,5
250,3
251,3
252,3
253,3
254,3
255,0
256,4
257,3
258,0
259,0
260,3
261,5
262,4
263,2
264,4
265,4
266,4
267,4
268,0
269,2
270,3
271,5
272,1
273,0
274,0
275,3
276,2
277,1
278,3
279,1
280,3
281,3
282,3
283,3
284,2
285,4
286,1
287,5
288,3
289,2
290,5
291,1
292,0
293,0
294,4
295,4
296,5
297,4
298,3
299,0
300,4
301,4
302,0
303,4
304,4
305,4
306,0
307,0
308,1
309,5
310,4
311,3
312,4
313,3
314,5
315,3
316,3
317,0
318,5
319,0
320,1
321,3
322,4
323,3
324,0
325,5
326,4
327,2
328,0
329,5
330,4
331,2
332,0
333,4
334,1
335,0
336,3
337,0
338,3
339,3
340,3
341,0
342,3
343,0
344,3
345,3
346,3
347,5
348,4
349,4
350,0
351,1
352,3
353,5
354,5
355,3
356,4
357,1
358,0
359,4
360,1
361,5
362,3
363,4
364,5
365,4
366,0
367,3
368,4
369,4
370,3
371,0
372,4
373,4
374,2
375,2
376,3
377,4
378,3
379,2
380,2
381,0
382,0
383,0
384,3
385,4
386,4
387,2
388,2
389,0
390,3
391,2
392,1
393,5
394,0
395,3
396,0
397,5
398,1
399,4
400,0
401,0
402,1
403,2
404,2
405,3
406,3
407,0
408,2
409,5
410,0
411,4
412,2
413,5
414,3
415,3
416,1
417,2
418,5
419,0
420,2
421,4
422,0
423,3
424,5
425,0
426,2
427,4
428,4
429,4
430,3
431,0
432,2
433,0
434,1
435,4
436,3
437,0
438,1
439,1
440,5
441,4
442,1
443,4
444,2
445,0
446,4
447,4
448,1
449,4
450,4
451,5
452,1
453,5
454,5
455,3
456,3
457,3
458,3
459,3
460,3
461,4
462,1
463,0
464,0
465,3
466,3
467,2
468,1
469,4
470,4
471,0
472,2
473,0
474,3
475,4
476,5
477,4
478,3
479,4
480,2
481,1
482,4
483,4
484,3
485,0
486,4
487,0
488,5
489,3
490,5
491,4
492,5
493,4
494,0
495,4
496,4
497,2
498,0
499,2
500,4
501,4
502,3
503,4
504,2
505,3
506,3
507,5
508,4
509,3
510,3
511,0
512,5
513,5
514,4
515,4
516,5
517,4
518,3
519,3
520,3
521,2
522,2
523,0
524,1
525,5
526,5
527,3
528,4
529,5
530,4
531,0
532,3
533,1
534,0
535,5
536,1
537,4
538,2
539,3
540,3
541,2
542,5
543,3
544,3
545,4
546,3
547,1
548,4
549,1
550,0
551,4
552,2
553,3
554,3
555,1
556,4
557,3
558,1
559,1
560,3
561,1
562,4
563,5
564,1
565,3
566,5
567,2
568,4
569,3
570,3
571,3
572,0
573,3
574,3
575,5
576,5
577,2
578,4
579,4
580,1
581,0
582,0
583,2
584,0
585,0
586,2
587,3
588,4
589,4
590,4
591,3
592,5
593,0
594,1
595,4
596,3
597,5
598,3
599,3
600,4
601,3
602,4
603,4
604,0
605,5
606,3
607,0
