ID,ACtivity
0,5
1,4
2,0
3,5
4,4
5,0
6,3
7,4
8,4
9,1
10,5
11,4
12,3
13,3
14,5
15,3
16,1
17,0
18,0
19,0
20,1
21,5
22,1
23,0
24,1
25,2
26,3
27,5
28,4
29,4
30,4
31,3
32,0
33,4
34,4
35,2
36,5
37,2
38,2
39,1
40,4
41,2
42,0
43,1
44,4
45,5
46,5
47,3
48,3
49,1
50,4
51,2
52,1
53,2
54,0
55,3
56,5
57,2
58,2
59,0
60,4
61,5
62,5
63,0
64,3
65,5
66,3
67,0
68,1
69,0
70,5
71,4
72,3
73,3
74,0
75,2
76,3
77,2
78,0
79,3
80,1
81,1
82,3
83,4
84,1
85,4
86,5
87,5
88,5
89,0
90,2
91,1
92,4
93,5
94,4
95,2
96,0
97,0
98,5
99,4
100,5
101,2
102,5
103,0
104,1
105,1
106,4
107,0
108,4
109,3
110,1
111,0
112,4
113,4
114,1
115,2
116,3
117,2
118,4
119,3
120,1
121,3
122,4
123,2
124,1
125,0
126,3
127,4
128,1
129,2
130,3
131,2
132,3
133,1
134,1
135,3
136,2
137,3
138,0
139,4
140,0
141,0
142,2
143,4
144,2
145,1
146,0
147,1
148,4
149,0
150,1
151,1
152,0
153,1
154,0
155,1
156,0
157,1
158,5
159,2
160,4
161,3
162,0
163,5
164,5
165,3
166,0
167,1
168,0
169,1
170,3
171,4
172,1
173,1
174,5
175,4
176,1
177,3
178,3
179,3
180,5
181,3
182,3
183,1
184,4
185,1
186,0
187,5
188,4
189,0
190,2
191,4
192,5
193,1
194,2
195,0
196,5
197,2
198,3
199,1
200,4
201,4
202,0
203,5
204,4
205,2
206,3
207,5
208,4
209,2
210,4
211,4
212,0
213,4
214,4
215,4
216,5
217,1
218,2
219,1
220,3
221,5
222,0
223,2
224,4
225,4
226,4
227,3
228,0
229,1
230,3
231,4
232,1
233,0
234,5
235,5
236,2
237,5
238,2
239,2
240,4
241,2
242,0
243,3
244,4
245,4
246,1
247,5
248,1
249,5
250,3
251,3
252,3
253,3
254,5
255,0
256,4
257,3
258,0
259,0
260,3
261,3
262,5
263,2
264,3
265,4
266,4
267,5
268,0
269,2
270,3
271,5
272,1
273,1
274,0
275,3
276,2
277,1
278,3
279,1
280,5
281,3
282,3
283,3
284,2
285,4
286,1
287,3
288,3
289,2
290,5
291,1
292,0
293,0
294,4
295,4
296,4
297,4
298,3
299,1
300,4
301,4
302,0
303,4
304,4
305,4
306,0
307,0
308,2
309,5
310,4
311,5
312,5
313,3
314,3
315,3
316,3
317,0
318,5
319,0
320,1
321,3
322,4
323,3
324,1
325,4
326,4
327,2
328,1
329,5
330,4
331,2
332,0
333,4
334,0
335,0
336,3
337,0
338,3
339,3
340,3
341,0
342,3
343,0
344,3
345,3
346,3
347,4
348,5
349,4
350,0
351,1
352,4
353,4
354,5
355,3
356,4
357,1
358,1
359,4
360,1
361,4
362,3
363,4
364,5
365,4
366,0
367,3
368,4
369,5
370,3
371,0
372,5
373,4
374,2
375,2
376,3
377,5
378,3
379,2
380,2
381,2
382,0
383,2
384,3
385,4
386,4
387,0
388,2
389,0
390,3
391,2
392,1
393,5
394,2
395,3
396,0
397,5
398,1
399,4
400,0
401,0
402,1
403,2
404,0
405,3
406,3
407,0
408,0
409,5
410,0
411,4
412,2
413,5
414,3
415,3
416,2
417,2
418,4
419,0
420,2
421,4
422,0
423,3
424,5
425,2
426,2
427,4
428,4
429,4
430,3
431,0
432,2
433,0
434,0
435,4
436,3
437,0
438,1
439,1
440,5
441,4
442,1
443,4
444,2
445,0
446,4
447,5
448,1
449,4
450,4
451,5
452,1
453,4
454,4
455,3
456,3
457,3
458,3
459,3
460,3
461,4
462,0
463,0
464,0
465,3
466,3
467,2
468,1
469,4
470,4
471,0
472,2
473,0
474,3
475,4
476,5
477,4
478,3
479,4
480,2
481,1
482,4
483,4
484,4
485,0
486,4
487,0
488,5
489,3
490,5
491,4
492,3
493,5
494,0
495,5
496,5
497,2
498,0
499,2
500,4
501,4
502,3
503,4
504,2
505,5
506,3
507,5
508,4
509,3
510,3
511,0
512,5
513,3
514,4
515,5
516,5
517,4
518,5
519,3
520,4
521,2
522,2
523,0
524,2
525,5
526,3
527,3
528,4
529,5
530,4
531,1
532,3
533,1
534,0
535,5
536,1
537,4
538,2
539,5
540,4
541,2
542,5
543,3
544,3
545,3
546,3
547,1
548,4
549,1
550,0
551,4
552,2
553,3
554,3
555,0
556,4
557,3
558,1
559,1
560,5
561,0
562,3
563,5
564,1
565,3
566,5
567,2
568,5
569,5
570,3
571,4
572,0
573,3
574,5
575,5
576,5
577,2
578,4
579,4
580,1
581,0
582,0
583,2
584,1
585,0
586,2
587,3
588,4
589,4
590,5
591,3
592,3
593,0
594,1
595,5
596,3
597,5
598,3
599,5
600,4
601,3
602,4
603,4
604,0
605,3
606,5
607,0
